gloss_id,korean_meanings,cat_1,cat_2,cat_3,original_vd_idx,source
100001,['가격경쟁'],전문용어 수어,경제,,209-가격경쟁,fi
100002,['가격수준'],전문용어 수어,경제,,209-가격수준,fi
100003,['가격정책'],전문용어 수어,경제,,209-가격정책,fi
100004,['가격차이'],전문용어 수어,경제,,209-가격차이,fi
100005,['가계'],전문용어 수어,경제,,209-가계,fi
100006,['가계소득'],전문용어 수어,경제,,209-가계소득,fi
100007,['가계수표'],전문용어 수어,경제,,209-가계수표,fi
100008,['가계종합예금'],전문용어 수어,경제,,209-가계종합예금,fi
100009,['가수요'],전문용어 수어,경제,,209-가수요,fi
100010,['가정경제'],전문용어 수어,경제,,209-가정경제,fi
100011,['가족회사'],전문용어 수어,경제,,209-가족회사,fi
100012,['가지급'],전문용어 수어,경제,,209-가지급,fi
100013,['간접비'],전문용어 수어,경제,,209-간접비,fi
100014,['간접투자'],전문용어 수어,경제,,209-간접투자,fi
100015,['감정가'],전문용어 수어,경제,,209-감정가,fi
100016,['감정가격'],전문용어 수어,경제,,209-감정가격,fi
100017,['개발비'],전문용어 수어,경제,,209-개발비,fi
100018,['개방체계'],전문용어 수어,경제,,209-개방체계,fi
100019,['개방체제'],전문용어 수어,경제,,209-개방체제,fi
100020,['개설'],전문용어 수어,경제,,209-개설,fi
100021,['개설자'],전문용어 수어,경제,,209-개설자,fi
100022,['개인기업'],전문용어 수어,경제,,209-개인기업,fi
100023,['개인소득'],전문용어 수어,경제,,209-개인소득,fi
100024,['개인예금'],전문용어 수어,경제,,209-개인예금,fi
100025,['개인저축'],전문용어 수어,경제,,209-개인저축,fi
100026,['개인주의'],전문용어 수어,경제,,209-개인주의,fi
100027,['개인투자가'],전문용어 수어,경제,,209-개인투자가,fi
100028,['개인회사'],전문용어 수어,경제,,209-개인회사,fi
100029,['개장'],전문용어 수어,경제,,209-개장,fi
100030,['거래량'],전문용어 수어,경제,,209-거래량,fi
100031,['거래선'],전문용어 수어,경제,,209-거래선,fi
100032,['거래소'],전문용어 수어,경제,,209-거래소,fi
100033,['거래일'],전문용어 수어,경제,,209-거래일,fi
100034,['거치'],전문용어 수어,경제,,209-거치,fi
100035,['건강보험'],전문용어 수어,경제,,209-건강보험,fi
100036,['결산서'],전문용어 수어,경제,,209-결산서,fi
100037,['결산일'],전문용어 수어,경제,,209-결산일,fi
100038,['결손금'],전문용어 수어,경제,,209-결손금,fi
100039,['결제'],전문용어 수어,경제,,209-결제,fi
100040,['경기'],전문용어 수어,경제,,209-경기,fi
100041,['경기과열'],전문용어 수어,경제,,209-경기과열,fi
100042,['경기대책'],전문용어 수어,경제,,209-경기대책,fi
100043,['경기변동'],전문용어 수어,경제,,209-경기변동,fi
100044,['경기상승'],전문용어 수어,경제,,209-경기상승,fi
100045,['경기예측'],전문용어 수어,경제,,209-경기예측,fi
100046,['경기회복'],전문용어 수어,경제,,209-경기회복,fi
100047,['경기후퇴'],전문용어 수어,경제,,209-경기후퇴,fi
100048,['경상수입'],전문용어 수어,경제,,209-경상수입,fi
100049,['경상수지'],전문용어 수어,경제,,209-경상수지,fi
100050,['경상이익'],전문용어 수어,경제,,209-경상이익,fi
100051,['경상지출'],전문용어 수어,경제,,209-경상지출,fi
100052,['경영계획'],전문용어 수어,경제,,209-경영계획,fi
100053,['경영관리'],전문용어 수어,경제,,209-경영관리,fi
100054,['경영다각화'],전문용어 수어,경제,,209-경영다각화,fi
100055,['경영성적'],전문용어 수어,경제,,209-경영성적,fi
100056,['경영자'],전문용어 수어,경제,,209-경영자,fi
100057,['경영전략'],전문용어 수어,경제,,209-경영전략,fi
100058,['경영조직'],전문용어 수어,경제,,209-경영조직,fi
100059,['경영진단'],전문용어 수어,경제,,209-경영진단,fi
100060,['경영컨설턴트'],전문용어 수어,경제,,209-경영컨설턴트,fi
100061,['경영학'],전문용어 수어,경제,,209-경영학,fi
100062,['경영합리화'],전문용어 수어,경제,,209-경영합리화,fi
100063,['경쟁입찰'],전문용어 수어,경제,,209-경쟁입찰,fi
100064,['경정예산'],전문용어 수어,경제,,209-경정예산,fi
100065,['경제'],전문용어 수어,경제,,209-경제,fi
100066,['경제계획'],전문용어 수어,경제,,209-경제계획,fi
100067,['경제력'],전문용어 수어,경제,,209-경제력,fi
100068,['경제봉쇄'],전문용어 수어,경제,,209-경제봉쇄,fi
100069,['경제생활'],전문용어 수어,경제,,209-경제생활,fi
100070,['경제성장'],전문용어 수어,경제,,209-경제성장,fi
100071,['경제성장률'],전문용어 수어,경제,,209-경제성장률,fi
100072,['경제예측'],전문용어 수어,경제,,209-경제예측,fi
100073,['경제원조'],전문용어 수어,경제,,209-경제원조,fi
100074,['경제인'],전문용어 수어,경제,,209-경제인,fi
100075,['경제주체'],전문용어 수어,경제,,209-경제주체,fi
100076,['경제차관'],전문용어 수어,경제,,209-경제차관,fi
100077,['경제체제'],전문용어 수어,경제,,209-경제체제,fi
100078,['경제학'],전문용어 수어,경제,,209-경제학,fi
100079,['경제협력'],전문용어 수어,경제,,209-경제협력,fi
100080,['경제협력개발기구'],전문용어 수어,경제,,209-경제협력개발기구,fi
100081,['경제활동'],전문용어 수어,경제,,209-경제활동,fi
100082,['경제활동인구'],전문용어 수어,경제,,209-경제활동인구,fi
100083,['계열'],전문용어 수어,경제,,209-계열,fi
100084,['계열기업'],전문용어 수어,경제,,209-계열기업,fi
100085,['계열사'],전문용어 수어,경제,,209-계열사,fi
100086,['계열화'],전문용어 수어,경제,,209-계열화,fi
100087,['계열회사'],전문용어 수어,경제,,209-계열회사,fi
100088,['계정과목'],전문용어 수어,경제,,209-계정과목,fi
100089,['계좌'],전문용어 수어,경제,,209-계좌,fi
