id,json,video_saved_as,label_source
0,VXPAKOKS240327540.json,VXPAKOKS240327540-신용카드의총한도를천만원에서2천만원으로높이고싶어요.npz (skipped),gloss
1,VXPAKOKS240327550.json,VXPAKOKS240327550-카드회사나은행에가면신용카드를바로만들수있는걸까.npz (skipped),gloss
2,VXPAKOKS240327560.json,VXPAKOKS240327560-은행이나카드사에물어보면신용카드발급조건을알수있어.npz (skipped),gloss
3,VXPAKOKS240327570.json,"VXPAKOKS240327570-은행이나카드사마다조건이다를수있으니,카드사의정책을확인하는것이중요해.npz (skipped)",gloss
4,VXPAKOKS240327580.json,VXPAKOKS240327580-직장에서받는월급보다신용카드사용금액이크면제게문제가생기나요.npz (skipped),gloss
5,VXPAKOKS240327590.json,VXPAKOKS240327590-신용카드를사용한후카드대금을납부하지않으면금융거래에문제가발생해요.npz (skipped),gloss
6,VXPAKOKS240327600.json,"VXPAKOKS240327600-카드대금상환이미뤄지면,이자가생겨서빚을지게돼요.npz (skipped)",gloss
7,VXPAKOKS240327610.json,VXPAKOKS240327610-이자로인해더빚을지게되면신용점수가떨어지는문제가발생해요.npz (skipped),gloss
8,VXPAKOKS240327620.json,"VXPAKOKS240327620-신용점수는대출을신청하거나집을살때,신용카드를발급받을때중요한역할을해요.npz (skipped)",gloss
9,VXPAKOKS240327630.json,VXPAKOKS240327630-신용카드를사용하면경제적인어려움이생길수있으므로주의해야해요.npz (skipped),gloss
10,VXPAKOKS240327640.json,VXPAKOKS240327640-현금이없어도거래를할수있기때문에소비에중독될수있어요.npz (skipped),gloss
11,VXPAKOKS240327650.json,VXPAKOKS240327650-신용카드를많이사용하면사기나도난에노출될위험이있으므로올바르게사용해야해요.npz (skipped),gloss
12,VXPAKOKS240327660.json,VXPAKOKS240327660-신용카드정보가유출되면개인정보도용이나불법거래에악용될수있어요.npz (skipped),gloss
13,VXPAKOKS240327670.json,VXPAKOKS240327670-직장에서받는월급보다신용카드사용금액이많으면가족관계에문제가생겨요.npz (skipped),gloss
14,VXPAKOKS240327680.json,VXPAKOKS240327680-신용카드를연체없이똑똑하게사용하는방법에대해상담하고싶어요.npz (skipped),gloss
15,VXPAKOKS240327690.json,VXPAKOKS240327690-신용카드를사용하기전에4월에사용할금액을계획해야해요.npz (skipped),gloss
16,VXPAKOKS240327700.json,"VXPAKOKS240327700-4월의수입과지출을생각하고,신용카드를사용할때마다기록하고관리하는것이좋아요.npz (skipped)",gloss
17,VXPAKOKS240327710.json,VXPAKOKS240327710-스스로정한예산안에서만신용카드를사용하면카드대금을상환하기가쉬워져요.npz (skipped),gloss
18,VXPAKOKS240327720.json,VXPAKOKS240327720-카드회사나은행에가면신용카드를바로만들수있는건가.npz (skipped),gloss
19,VXPAKOKS240327730.json,VXPAKOKS240327730-신용카드를만들면신용카드가없을때보다돈을많이쓰게되는건아닐지걱정돼.npz (skipped),gloss
20,VXPAKOKS240327740.json,VXPAKOKS240327740-신용카드를자신의예산에맞게사용하면오히려돈을아낄수있어.npz (skipped),gloss
21,VXPAKOKS240327750.json,VXPAKOKS240327750-편의점이나식당에서신용카드를사용하면돈을아낄수있는장점이있어.npz (skipped),gloss
22,VXPAKOKS240327760.json,VXPAKOKS240327760-현금으로결제하는것과신용카드로결제하는것중어느게더안전할까.npz (skipped),gloss
23,VXPAKOKS240327770.json,"VXPAKOKS240327770-현금을갖고다니면잃어버릴수있으니,신용카드로결제하는게낫지.npz (skipped)",gloss
24,VXPAKOKS240327780.json,VXPAKOKS240327780-길에서신용카드를잃어버리게되면당황할것같은데이때는어떻게해야해.npz (skipped),gloss
25,VXPAKOKS240327790.json,"VXPAKOKS240327790-지갑이나가방,주머니를찾아보고,카드가없는건지정확하게확인해야해.npz (skipped)",gloss
26,VXPAKOKS240327800.json,VXPAKOKS240327800-카드를잃어버렸다면은행이나카드사에빨리분실신고를해야해.npz (skipped),gloss
27,VXPAKOKS240327810.json,VXPAKOKS240327810-분실한카드의사용을차단하면카드가불법으로사용되는걸막을수있어.npz (skipped),gloss
28,VXPAKOKS240327820.json,VXPAKOKS240327820-분실신고를할때는잃어버린장소와시간에대해자세히알려줘야해.npz (skipped),gloss
29,VXPAKOKS240327830.json,VXPAKOKS240327830-다른카드나신분증도잃어버렸다면경찰에신고하거나재발급을요청할수있어.npz (skipped),gloss
30,VXPAKOKS240327840.json,VXPAKOKS240327840-카드재발급을신청했다면새로운카드를받기까지2주의시간이걸린다고해.npz (skipped),gloss
31,VXPAKOKS240327850.json,VXPAKOKS240327850-개인정보가유출될수있기때문에모르는번호의문자메시지를조심해야해.npz (skipped),gloss
32,VXPAKOKS240327860.json,VXPAKOKS240327860-신규카드의비밀번호는잃어버린카드와다른비밀번호를사용하는게안전해.npz (skipped),gloss
33,VXPAKOKS240327870.json,"VXPAKOKS240327870-신용카드종류가여러가지인데,제가어떤카드를쓰는게좋을까요.npz (skipped)",gloss
34,VXPAKOKS240327880.json,VXPAKOKS240327880-자신에게적합한카드를선택하려면여러신용카드에대해알아봐야해요.npz (skipped),gloss
35,VXPAKOKS240327890.json,VXPAKOKS240327890-카드사의홈페이지에서금리를비교한후신용카드를선택하는게좋아요.npz (skipped),gloss
36,VXPAKOKS240327900.json,"VXPAKOKS240327900-카드의연회비와금리,포인트를꼭비교해서신용카드를선택하는것이좋아요.npz (skipped)",gloss
37,VXPAKOKS240327910.json,"VXPAKOKS240327910-백화점카드,여행카드,쇼핑카드등종류가여러가지인만큼본인의소비에맞게선택해야해요.npz (skipped)",gloss
38,VXPAKOKS240327920.json,VXPAKOKS240327920-신용카드발급받으면제게도움되는장점이있는지자세히설명해주세요.npz (skipped),gloss
39,VXPAKOKS240327930.json,VXPAKOKS240327930-신용카드는현금보다들고다니기편하고무거운동전이나지폐를갖고다니지않아도됩니다.npz (skipped),gloss
40,VXPAKOKS240327940.json,VXPAKOKS240327940-동전이나지폐를쓰지않으면거스름돈을주고받는번거로움이없어서편할수있습니다.npz (skipped),gloss
41,VXPAKOKS240327950.json,VXPAKOKS240327950-현금이없는데급하게식당에서결제를해야할때신용카드가편합니다.npz (skipped),gloss
42,VXPAKOKS240327960.json,VXPAKOKS240327960-신용카드를쓰면무이자할부서비스를받을수있는장점이있습니다.npz (skipped),gloss
43,VXPAKOKS240327970.json,"VXPAKOKS240327970-신용카드는대중교통을탈때이용할수있고,배달주문할때쓸수있습니다.npz (skipped)",gloss
44,VXPAKOKS240327980.json,VXPAKOKS240327980-신용카드사용금액에따라포인트적립이나할인을받을수있습니다.npz (skipped),gloss
45,VXPAKOKS240327990.json,VXPAKOKS240327990-카드회사에서제공하는할인행사가있다면물건을싸게살수있습니다.npz (skipped),gloss
46,VXPAKOKS240328000.json,"VXPAKOKS240328000-신용카드는현금을잃어버릴위험이없고,잃어버렸을땐도난신고를할수있습니다.npz (skipped)",gloss
47,VXPAKOKS240328010.json,VXPAKOKS240328010-다른사람이허락없이내카드를사용했다면카드사가책임을져야합니다.npz (skipped),gloss
48,VXPAKOKS240328020.json,VXPAKOKS240328020-카드회사의홈페이지나애플리케이션을통해신용카드사용금액을알수있습니다.npz (skipped),gloss
49,VXPAKOKS240328030.json,VXPAKOKS240328030-내가돈을사용한내용을간단히확인할수있는장점이있습니다.npz (skipped),gloss
50,VXPAKOKS240328040.json,"VXPAKOKS240328040-카드회사의애플리케이션에는카드사용내용이나포인트,한도를확인할수있습니다.npz (skipped)",gloss
51,VXPAKOKS240328050.json,VXPAKOKS240328050-인터넷쇼핑을할때신용카드를쓰면간편하게결제할수있습니다.npz (skipped),gloss
52,VXPAKOKS240328060.json,VXPAKOKS240328060-외국에여행을갈때도신용카드를사용하면현금을챙기지않아도됩니다.npz (skipped),gloss
53,VXPAKOKS240328070.json,VXPAKOKS240328070-환전할필요없이결제할수있어서여행중에도쉽게쓸수있습니다.npz (skipped),gloss
54,VXPAKOKS240328080.json,"VXPAKOKS240328080-통장에서수도요금,전기요금,휴대전화요금이자동으로출금되게설정할수있습니다.npz (skipped)",gloss
55,VXPAKOKS240328090.json,VXPAKOKS240328090-신용카드를사용한후카드요금이연체되지않으면신용점수가올라갑니다.npz (skipped),gloss
56,VXPAKOKS240328100.json,VXPAKOKS240328100-현금사용을줄이고신용카드사용을늘리면현금관리에드는시간과노력을줄일수있습니다.npz (skipped),gloss
57,VXPAKOKS240328110.json,"VXPAKOKS240328110-은행에서예금통장을만들라고하던데,예금이뭔지자세히설명해주세요.npz (skipped)",gloss
58,VXPAKOKS240328120.json,"VXPAKOKS240328120-간단히말하면,한국은행같은금융기관에돈을맡기는것을예금이라고해요.npz (skipped)",gloss
59,VXPAKOKS240328130.json,"VXPAKOKS240328130-당신이원하는기간에돈을맡겨두고,원하는기간이지나면원금과이자를받는예금이있어요.npz (skipped)",gloss
60,VXPAKOKS240328140.json,VXPAKOKS240328140-당신이원할때간단하게입금과출금을할수있는예금도있어요.npz (skipped),gloss
61,VXPAKOKS240328150.json,VXPAKOKS240328150-예금통장을만들고싶다면먼저금리를비교하는것이좋아요.npz (skipped),gloss
62,VXPAKOKS240328160.json,VXPAKOKS240328160-4퍼센트금리의예금에가입하면3퍼센트금리의예금보다이자가높아요.npz (skipped),gloss
63,VXPAKOKS240328170.json,VXPAKOKS240328170-월급이적어서생활비가부족한상황에서도예금을꼭만들어야하는걸까요.npz (skipped),gloss
64,VXPAKOKS240328180.json,VXPAKOKS240328180-예금을만드는것은개인의돈관리에서중요한부분을차지할수있어요.npz (skipped),gloss
65,VXPAKOKS240328190.json,VXPAKOKS240328190-예금에가입하는것은돈을계획적으로모을수있다는것을말해요.npz (skipped),gloss
66,VXPAKOKS240328200.json,VXPAKOKS240328200-은행이나금융기관에돈을맡긴다는것은안전한돈관리방법의하나입니다.npz (skipped),gloss
67,VXPAKOKS240328210.json,VXPAKOKS240328210-정기예금은계약기간에원금이줄어드는위험이없고은행이약속한이자수익을받아요.npz (skipped),gloss
68,VXPAKOKS240328220.json,VXPAKOKS240328220-예금에가입한다는것은이자를통해수익을받는다는것을말해요.npz (skipped),gloss
69,VXPAKOKS240328230.json,"VXPAKOKS240328230-주식투자방법에비해수익이낮지만,안전한수익이생겨요.npz (skipped)",gloss
70,VXPAKOKS240328240.json,VXPAKOKS240328240-예금계좌에서일상생활에서필요한금액을빨리인출할수있는장점이있어요.npz (skipped),gloss
71,VXPAKOKS240328250.json,VXPAKOKS240328250-예금은자신의돈관리목표를이루기위해목돈을만드는상품이예요.npz (skipped),gloss
72,VXPAKOKS240328260.json,"VXPAKOKS240328260-주택구입자금,자녀교육비,은퇴자금등을계획적으로준비할수있어요.npz (skipped)",gloss
73,VXPAKOKS240328270.json,VXPAKOKS240328270-예금을만들어은행과자주거래하면신용점수를높일수있어요.npz (skipped),gloss
74,VXPAKOKS240328280.json,"VXPAKOKS240328280-예금에는이자가붙기때문에,돈을은행에맡기는것만으로도수익을얻을수있어요.npz (skipped)",gloss
75,VXPAKOKS240328290.json,VXPAKOKS240328290-돈을예금계좌에넣어두면발생하는단점이있는지설명해주세요.npz (skipped),gloss
76,VXPAKOKS240328300.json,VXPAKOKS240328300-예금은주식이나부동산투자에비해수익률이낮다는단점이있어요.npz (skipped),gloss
77,VXPAKOKS240328310.json,VXPAKOKS240328310-예금의단점에는나라의물가가올랐을때수익률이낮아진다는점이있어요.npz (skipped),gloss
78,VXPAKOKS240328320.json,"VXPAKOKS240328320-은행에여러가지예금이있는데,돈모으기좋은예금을찾는방법을알려주세요.npz (skipped)",gloss
79,VXPAKOKS240328330.json,"VXPAKOKS240328330-예금상품을선택할때는,예금을만들려는은행이안전한지꼭확인하세요.npz (skipped)",gloss
80,VXPAKOKS240328340.json,VXPAKOKS240328340-예금가입전에통장에서돈을인출하는데문제가없는지확인하세요.npz (skipped),gloss
81,VXPAKOKS240328350.json,VXPAKOKS240328350-예금계좌를만들고싶을때준비해야할서류에대해알려주세요.npz (skipped),gloss
82,VXPAKOKS240328360.json,VXPAKOKS240328360-새로운예금계좌를개설할때필요한서류는개인인지회사인지에따라달라요.npz (skipped),gloss
83,VXPAKOKS240328370.json,"VXPAKOKS240328370-은행에서필요한서류는방문하는사람이본인인지,대리인인지에따라달라요.npz (skipped)",gloss
